team,final_elo,played,wins,draws,losses
Paris Saint Germain,1630.93,114,80,22,12
Marseille,1594.43,114,61,23,30
Lille,1559.75,114,56,32,26
Strasbourg,1552.57,114,40,32,42
Monaco,1550.25,114,61,24,29
Lens,1548.53,114,59,26,29
Lyon,1543.59,114,56,19,39
Nice,1527.61,114,50,34,30
Toulouse,1512.07,114,39,29,46
Brest,1504.47,114,45,29,40
Rennes,1502.54,114,48,22,44
Paris FC,1496.24,8,3,1,4
Troyes,1492.13,38,4,12,22
Ajaccio,1490.76,38,7,5,26
Clermont Foot,1481.19,72,22,18,32
Auxerre,1472.71,80,21,21,38
Lorient,1468.77,80,24,20,36
Reims,1464.95,106,33,32,41
Saint-Etienne,1454.54,34,8,6,20
Nantes,1454.36,114,25,36,53
Le Havre,1438.79,76,18,18,40
Angers,1434.79,80,15,15,50
Metz,1422.65,42,8,7,27
Montpellier,1401.4,106,29,21,56
